
13:13:15,937;Start
13:13:40,453;Stop
13:13:50,466;Start
13:14:05,149;Stop
13:14:15,160;Start
13:14:29,443;Stop
13:14:39,453;Start
13:14:53,262;Stop
13:15:03,272;Start
13:15:16,940;Stop
13:15:26,951;Start
13:15:40,475;Stop
13:15:50,485;Start
13:16:04,016;Stop
13:16:14,027;Start
13:16:27,486;Stop
13:16:37,496;Start
13:16:50,742;Stop
13:17:00,752;Start
13:17:14,265;Stop
13:17:24,276;Start
13:17:37,818;Stop
13:17:47,829;Start
13:18:01,116;Stop
13:18:11,126;Start
13:18:24,518;Stop
13:18:34,530;Start
13:18:48,001;Stop
13:18:58,011;Start
13:19:11,418;Stop
13:19:21,429;Start
13:19:34,857;Stop
13:19:44,865;Start
13:19:58,045;Stop
13:20:08,056;Start
13:20:21,256;Stop
13:20:31,267;Start
13:20:44,651;Stop
13:20:54,662;Start
13:21:07,906;Stop
13:21:17,913;Start
13:21:31,061;Stop
13:21:41,072;Start
13:21:54,576;Stop
13:22:04,588;Start
13:22:17,668;Stop
13:22:27,677;Start
13:22:40,883;Stop
13:22:50,894;Start
13:23:04,250;Stop
13:23:14,260;Start
13:23:27,432;Stop
13:23:37,441;Start
13:23:50,454;Stop
13:24:00,465;Start
13:24:13,434;Stop
13:24:23,441;Start
13:24:36,593;Stop
13:24:46,601;Start
13:24:59,768;Stop
